car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train,Battery capacity in kW,Number of electric motors,Range
BMW,iX3 ,2022,90700.0,Armenia,200.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2847281,3.0,340,6,AWD 4x4,80.0,2.0,420.0
Mercedes-Benz,EQS ,2022,90000.0,"Armenia, Yerevan",6000.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/2985239,3.5,288,8,RWD,100.0,2.0,700.0
Honda,e:NS1 ,2023,24750.0,Armenia,20.0,SUV / Truck,Electric,Automatic,Left,White,New,https://auto.am/offer/3015152,1.5,204,4,FWD,68.0,1.0,510.0
Aiqar,eQ3 ,2024,24750.0,"Armenia, Yerevan",10.0,Wagon,Electric,Automatic,Left,Silver,New,https://auto.am/offer/3006110,2.5,184,4,AWD 4x4,67.0,1.0,401.0
Neta,X ,2024,24750.0,Armenia,10.0,Wagon,Electric,Automatic,Left,Black,New,https://auto.am/offer/3039876,2.5,163,4,FWD,68.0,1.0,501.0
Ford,Focus ,2013,9800.0,"Armenia, Yerevan",142400.0,Hatchback,Electric,Automatic,Left,Black,Good,https://auto.am/offer/3026567,2.5,176,4,FWD,23.0,1.0,120.0
Chevrolet,Volt ,2014,9800.0,"Armenia, Yerevan",208000.0,Sedan,Electric,Automatic,Left,Sky-blue,Excellent,https://auto.am/offer/3036867,1.4,149,4,FWD,60.0,4.0,100.0
Chevrolet,Volt ,2013,9700.0,"Armenia, Yerevan",176000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3034536,1.4,149,4,FWD,149.0,2.0,70.0
Honda,M-NV ,2023,23750.0,"Armenia, Yerevan",20.0,SUV / Truck,Electric,Automatic,Left,White,New,https://auto.am/offer/3015166,1.5,218,4,FWD,61.0,1.0,505.0
Chevrolet,Volt ,2013,9500.0,"Armenia, Yerevan",144000.0,Sedan,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3020002,1.4,149,4,FWD,100.0,4.0,70.0
Chevrolet,Volt ,2014,9500.0,"Armenia, Yerevan",192.0,Hatchback,Electric,Automatic,Left,Beige,Good,https://auto.am/offer/2994911,1.4,149,4,FWD,12.0,1.0,75.0
Fiat,500,2018,9500.0,"Armenia, Yerevan",64000.0,Coupe,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3031746,1.4,160,4,RWD,24.0,1.0,130.0
Chevrolet,Volt ,2015,9400.0,"Armenia, Yerevan",76033.6,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2991422,1.4,149,4,FWD,17.0,1.0,50.0
Chevrolet,Volt ,2012,9250.0,"Armenia, Ararat",98000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2682337,2.4,149,4,FWD,5.0,1.0,65.0
Chevrolet,Volt ,2014,9100.0,Armenia,204800.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2965283,1.4,149,4,FWD,12.0,1.0,75.0
Nissan,Leaf ,2017,9000.0,"Armenia, Yerevan",101000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3038462,2.5,145,4,AWD 4x4,30.0,2.0,200.0
Chevrolet,Volt ,2013,9000.0,"Armenia, Yerevan",208000.0,Sedan,Electric,Automatic,Left,Red,Excellent,https://auto.am/offer/3033089,1.4,150,4,FWD,58.0,4.0,90.0
Nissan,Leaf ,2016,9000.0,"Armenia, Yerevan",60000.0,Hatchback,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3039172,1.6,188,4,FWD,32.0,1.0,100.0
Audi,Q4 ,2022,89700.0,Armenia,13000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2842487,3.0,225,4,AWD 4x4,84.0,2.0,500.0
Mercedes-Benz,EQE ,2023,89200.0,Armenia,3000.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3026334,2.5,288,4,AWD 4x4,96.0,2.0,600.0
Mercedes-Benz,EQE ,2023,87500.0,"Armenia, Yerevan",3800.0,SUV / Truck,Electric,Automatic,Left,Black,New,https://auto.am/offer/3026673,2.5,292,4,AWD 4x4,100.0,2.0,600.0
Mercedes-Benz,EQE ,2023,87000.0,"Armenia, Yerevan",2000.0,SUV / Truck,Electric,Automatic,Left,Gray,New,https://auto.am/offer/2994476,2.5,288,4,AWD 4x4,96.0,2.0,609.0
Mercedes-Benz,EQE ,2023,86000.0,"Armenia, Yerevan",10.0,SUV / Truck,Electric,Automatic,Left,Gray,sell.condition-values.,https://auto.am/offer/2991470,2.5,288,4,AWD 4x4,156.0,2.0,610.0
Porsche,Taycan ,2022,85000.0,Armenia,32000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2991867,2.5,200,4,AWD 4x4,79.0,2.0,500.0
Tesla,Model S ,2023,85000.0,"Armenia, Yerevan",7001.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3037581,2.5,670,4,AWD 4x4,100.0,2.0,630.0
Mercedes-Benz,EQS ,2021,85000.0,Armenia,30000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2985996,4.0,408,6,AWD 4x4,100.0,1.0,700.0
Mercedes-Benz,EQE ,2023,84000.0,"Armenia, Yerevan",100.0,Wagon,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3037003,2.5,288,4,AWD 4x4,96.0,2.0,600.0
Mercedes-Benz,EQB ,2022,82000.0,Armenia,9000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2854745,4.0,408,8,AWD 4x4,80.0,2.0,431.0
BMW,i5 ,2023,80000.0,"Armenia, Yerevan",1500.0,Sedan,Electric,Automatic,Left,Blue,sell.condition-values.,https://auto.am/offer/3039351,2.0,252,4,AWD 4x4,86.0,2.0,600.0
Volkswagen,ID.3 ,2022,22250.0,"Armenia, Yerevan",20.0,Hatchback,Electric,Automatic,Left,White,New,https://auto.am/offer/3002473,2.5,204,4,RWD,57.0,1.0,460.0
Chevrolet,Volt ,2014,8900.0,"Armenia, Yerevan",150000.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3037552,1.4,149,4,FWD,18.0,1.0,70.0
Chevrolet,Volt ,2011,8800.0,"Armenia, Yerevan",120000.0,Sedan,Electric,Automatic,Left,Օther color,Good,https://auto.am/offer/2994551,1.4,200,4,AWD 4x4,10.0,1.0,81.0
Chevrolet,Volt ,2011,8800.0,Armenia,136000.0,Hatchback,Electric,Automatic,Left,Red,Excellent,https://auto.am/offer/3023361,1.4,200,4,AWD 4x4,8.0,1.0,81.0
Chevrolet,Volt ,2012,8800.0,"Armenia, Yerevan",160000.0,Hatchback,Electric,Automatic,Left,Silver,Good,https://auto.am/offer/3023215,1.4,181,4,FWD,12.0,1.0,65.0
Chevrolet,Volt ,2012,8500.0,"Armenia, Yerevan",170000.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3005970,1.4,183,4,FWD,12.0,1.0,65.0
Nissan,Leaf ,2016,8500.0,"Armenia, Yerevan",110000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3038466,1.6,188,4,FWD,25.0,1.0,150.0
Chevrolet,Volt ,2014,8400.0,"Armenia, Yerevan",130000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3029363,1.4,149,4,FWD,1.0,1.0,60.0
Chevrolet,Volt ,2013,8300.0,"Armenia, Yerevan",111111.0,Sedan,Electric,Automatic,Left,Black,Good,https://auto.am/offer/3029376,1.4,149,4,FWD,10.0,1.0,70.0
Neta,V Pro ,2023,20000.0,"Armenia, Yerevan",10.0,Wagon,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2910244,2.5,163,4,FWD,40.0,1.0,500.0
Tesla,Model S ,2022,79900.0,"Armenia, Yerevan",800.0,Sedan,Electric,Automatic,Left,Blue,New,https://auto.am/offer/2975958,2.5,670,4,AWD 4x4,110.0,2.0,660.0
Tesla,Model S ,2022,79000.0,"Armenia, Yerevan",9500.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3017748,2.5,670,4,AWD 4x4,100.0,2.0,650.0
BMW,i5 ,2023,71760.0,Armenia,23.0,Sedan,Electric,Automatic,Left,Blue,New,https://auto.am/offer/2995882,2.0,252,4,AWD 4x4,105.0,2.0,600.0
Avatr,11,2023,77700.0,Armenia,2500.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2989833,2.5,200,4,AWD 4x4,1.0,2.0,500.0
Tesla,Model S ,2021,76500.0,"Armenia, Yerevan",15000.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2991510,2.5,271,4,RWD,100.0,3.0,550.0
Porsche,Taycan ,2021,76000.0,Armenia,50000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3032610,2.5,200,4,AWD 4x4,75.0,2.0,450.0
Mercedes-Benz,EQC ,2022,75000.0,Armenia,10.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3037024,4.0,408,8,AWD 4x4,79.0,2.0,443.0
Tesla,Model S ,2023,75000.0,Armenia,9000.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2994653,2.5,670,4,AWD 4x4,75.0,2.0,630.0
BMW,iX ,2022,74000.0,"Armenia, Yerevan",16700.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3028807,3.0,330,6,AWD 4x4,240.0,2.0,420.0
Mercedes-Benz,EQE ,2023,73000.0,"Armenia, Yerevan",45.0,SUV / Truck,Electric,Automatic,Left,White,sell.condition-values.,https://auto.am/offer/2999774,2.5,288,4,AWD 4x4,89.0,2.0,595.0
Mercedes-Benz,EQE ,2023,73000.0,"Armenia, Yerevan",40.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/2999771,2.5,288,4,AWD 4x4,89.0,2.0,595.0
Audi,Q5 e-tron ,2023,73000.0,Armenia,98.0,SUV / Truck,Electric,Automatic,Left,White,sell.condition-values.,https://auto.am/offer/3027030,4.0,204,4,RWD,200.0,2.0,560.0
Audi,Q5 e-tron ,2023,72300.0,"Armenia, Yerevan",3000.0,SUV / Truck,Electric,Automatic,Left,Gray,New,https://auto.am/offer/3038625,4.0,204,4,RWD,84.0,2.0,560.0
Mercedes-Benz,EQC ,2022,71700.0,Armenia,16700.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2948776,4.0,408,8,AWD 4x4,80.0,2.0,431.0
Tesla,Model S ,2022,70000.0,"Armenia, Yerevan",10000.0,Sedan,Electric,Automatic,Left,Gray,Good,https://auto.am/offer/3036481,2.5,670,4,AWD 4x4,100.0,2.0,630.0
Mercedes-Benz,EQE ,2024,70000.0,"Armenia, Yerevan",50.0,SUV / Truck,Electric,Automatic,Left,Black,New,https://auto.am/offer/3029451,2.5,292,4,AWD 4x4,96.0,2.0,613.0
Ford,Focus ,2013,7900.0,"Armenia, Aragatsotn",95000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3009003,2.5,176,4,FWD,24.0,1.0,120.0
Chevrolet,Volt ,2013,7900.0,"Armenia, Yerevan",208000.0,Hatchback,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3028847,1.4,149,4,FWD,16.0,1.0,50.0
Chevrolet,Volt ,2011,7600.0,"Armenia, Yerevan",164800.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3039223,1.4,200,4,AWD 4x4,112.0,1.0,123.0
Nissan,Leaf ,2019,18750.0,"Armenia, Yerevan",34000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3017974,1.6,122,4,FWD,40.0,1.0,250.0
Aiqar,Arrizo e ,2024,18750.0,"Armenia, Yerevan",10.0,Sedan,Electric,Automatic,Left,Gray,New,https://auto.am/offer/3006123,2.5,120,4,RWD,48.0,1.0,405.0
Chevrolet,Volt ,2011,7500.0,"Armenia, Yerevan",130000.0,Sedan,Electric,Automatic,Left,Red,Excellent,https://auto.am/offer/3033115,1.4,200,4,AWD 4x4,109.0,1.0,40.0
Nissan,Leaf ,2013,7500.0,"Armenia, Yerevan",35000.0,Hatchback,Electric,Automatic,Left,Red,sell.condition-values.,https://auto.am/offer/3033224,1.6,333,4,AWD 4x4,24.0,1.0,130.0
Nissan,Leaf ,2016,7500.0,"Armenia, Yerevan",100000.0,Sedan,Electric,Automatic,Left,Blue,Good,https://auto.am/offer/3034890,2.5,131,1,FWD,60.0,1.0,120.0
Fiat,500,2014,7000.0,"Armenia, Yerevan",80000.0,Coupe,Electric,Automatic,Left,Aubergine,Good,https://auto.am/offer/3037470,1.4,200,4,AWD 4x4,24.0,1.0,150.0
Mercedes-Benz,EQC ,2023,68700.0,Armenia,5500.0,Pickup Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2989446,2.5,288,4,AWD 4x4,80.0,2.0,500.0
Mercedes-Benz,EQC ,2022,68000.0,"Armenia, Yerevan",10000.0,Wagon,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3002635,4.0,408,8,AWD 4x4,1.0,2.0,431.0
Mercedes-Benz,EQC ,2022,67000.0,"Armenia, Yerevan",10000.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3030345,4.0,408,8,AWD 4x4,82.0,2.0,420.0
Audi,Q5 e-tron ,2023,67000.0,Armenia,12000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2960103,4.0,204,4,RWD,150.0,2.0,560.0
Mercedes-Benz,EQE ,2022,67000.0,"Armenia, Yerevan",13500.0,Sedan,Electric,Automatic,Left,Օther color,Excellent,https://auto.am/offer/3034554,3.0,288,6,RWD,215.0,1.0,745.0
Mercedes-Benz,EQC ,2022,65500.0,"Armenia, Yerevan",30000.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3040659,4.0,408,8,AWD 4x4,80.0,2.0,400.0
Tesla,Model S ,2021,65000.0,Armenia,19200.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2869438,2.5,271,4,RWD,60.0,3.0,550.0
Cadillac,LaSalle ,2022,65000.0,"Armenia, Yerevan",30.0,Wagon,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2973990,2.5,200,4,AWD 4x4,150.0,1.0,650.0
BMW,iX3 ,2022,65000.0,Armenia,200.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2845929,3.0,340,6,AWD 4x4,80.0,2.0,420.0
Ford,Mustang ,2022,65000.0,"Armenia, Yerevan",8160.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3019016,1.5,480,3,AWD 4x4,110.0,4.0,500.0
Mercedes-Benz,EQE ,2022,65000.0,"Armenia, Yerevan",1000.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/2958629,3.5,288,8,RWD,89.0,2.0,600.0
Zeekr,001 ,2023,65000.0,"Armenia, Yerevan",20.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3018804,2.5,540,4,AWD 4x4,100.0,2.0,700.0
Tesla,Model X ,2021,65000.0,"Armenia, Yerevan",48000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3037553,2.5,350,4,AWD 4x4,100.0,2.0,550.0
Zeekr,001 ,2024,64000.0,"Armenia, Yerevan",50.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3027957,2.5,780,4,AWD 4x4,100.0,2.0,750.0
Zeekr,001 ,2024,64000.0,Armenia,10.0,Wagon,Electric,Automatic,Left,Օther color,sell.condition-values.,https://auto.am/offer/3038821,2.5,789,4,AWD 4x4,789.0,2.0,705.0
Tesla,Model X ,2018,64000.0,"Armenia, Yerevan",65000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3019404,2.5,304,4,AWD 4x4,568.0,4.0,400.0
Voyah,Free ,2023,63900.0,Armenia,1000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2957629,2.5,200,4,AWD 4x4,510.0,2.0,500.0
Ford,Mustang ,2021,63000.0,"Armenia, Yerevan",20000.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3017605,3.65,460,4,AWD 4x4,93.0,2.0,500.0
Mercedes-Benz,EQB ,2023,62500.0,Armenia,40000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2998687,2.5,288,4,AWD 4x4,66.0,1.0,380.0
Zeekr,001 ,2023,62000.0,"Armenia, Yerevan",30.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3039918,2.5,544,4,AWD 4x4,100.0,2.0,656.0
Zeekr,001 ,2024,62000.0,"Armenia, Yerevan",10.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3038017,2.5,784,4,AWD 4x4,100.0,2.0,700.0
Mercedes-Benz,EQC ,2020,62000.0,"Armenia, Yerevan",29000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2933574,3.0,367,6,AWD 4x4,400.0,4.0,550.0
Mercedes-Benz,EQC ,2021,62000.0,Armenia,19000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3027436,4.0,408,6,AWD 4x4,90.0,4.0,600.0
Mercedes-Benz,EQC ,2021,61000.0,"Armenia, Yerevan",23000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3003766,4.0,408,6,AWD 4x4,80.0,4.0,350.0
Mercedes-Benz,EQC ,2022,60000.0,"Armenia, Yerevan",50.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3038569,4.0,408,8,AWD 4x4,80.0,2.0,450.0
Ford,Mach-e ,2021,60000.0,Armenia,22000.0,Wagon,Electric,Automatic,Left,Blue,Excellent,https://auto.am/offer/2949910,3.65,459,4,AWD 4x4,90.0,2.0,430.0
Tesla,Model S ,2020,60000.0,"Armenia, Yerevan",29000.0,Sedan,Electric,Automatic,Right,Gray,Excellent,https://auto.am/offer/3021194,2.5,795,4,AWD 4x4,585.0,4.0,500.0
Mercedes-Benz,EQC ,2021,60000.0,"Armenia, Yerevan",14500.0,SUV / Truck,Electric,Automatic,Left,Blue,Excellent,https://auto.am/offer/3019395,4.0,408,6,AWD 4x4,300.0,4.0,550.0
Jaguar,I-Pace ,2019,60000.0,"Armenia, Yerevan",15000.0,Wagon,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3012221,2.5,249,4,AWD 4x4,90.0,2.0,450.0
Chevrolet,Bolt EV ,2023,6600.0,Armenia,8000.0,Hatchback,Electric,Automatic,Left,Blue,Damaged,https://auto.am/offer/3035240,5.3,200,8,AWD 4x4,61.0,2.0,380.0
Nissan,Leaf ,2012,6500.0,"Armenia, Yerevan",112000.0,Hatchback,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3040244,1.825,98,3,FWD,24.0,1.0,85.0
BYD,Seagull ,2023,15500.0,Armenia,305.0,Hatchback,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3038467,2.5,218,4,FWD,30.0,1.0,305.0
Volkswagen,e-Lavida ,2021,15500.0,"Armenia, Yerevan",97000.0,Sedan,Electric,Automatic,Left,White,Good,https://auto.am/offer/3035563,2.5,136,4,RWD,44.0,1.0,346.0
Nissan,Leaf ,2012,6200.0,"Armenia, Yerevan",91000.0,Hatchback,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3014025,1.825,98,3,FWD,24.0,1.0,85.0
Nissan,Leaf ,2012,6000.0,"Armenia, Yerevan",67000.0,Hatchback,Electric,Automatic,Transformed from right to left,Black,Good,https://auto.am/offer/3036132,1.825,98,3,FWD,18.0,1.0,85.0
Tesla,Model S ,2020,59000.0,"Armenia, Yerevan",29000.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3034951,2.5,670,4,AWD 4x4,100.0,2.0,560.0
Mercedes-Benz,EQC ,2021,59000.0,"Armenia, Yerevan",33000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3026243,4.0,408,6,AWD 4x4,85.0,2.0,400.0
Tesla,Model X ,2020,59000.0,Armenia,40000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3031340,2.5,403,4,AWD 4x4,100.0,2.0,550.0
Tesla,Model S ,2020,59000.0,"Armenia, Syunik",54000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3031345,2.5,732,4,AWD 4x4,100.0,2.0,610.0
Volkswagen,ID.4 ,2022,58800.0,Armenia,2000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2833636,2.5,204,4,RWD,84.0,2.0,500.0
Mercedes-Benz,EQC ,2021,58500.0,"Armenia, Yerevan",21600.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3019397,4.0,408,6,AWD 4x4,300.0,4.0,550.0
Mercedes-Benz,EQC ,2020,58000.0,"Armenia, Yerevan",59000.0,Wagon,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3024300,3.0,367,6,AWD 4x4,80.0,4.0,460.0
Mercedes-Benz,EQC ,2021,58000.0,"Armenia, Yerevan",49000.0,Wagon,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3027434,4.0,408,6,AWD 4x4,80.0,4.0,408.0
BMW,i7 ,2024,143750.0,Armenia,900.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3019023,2.5,200,4,AWD 4x4,105.0,4.0,650.0
Audi,e-tron ,2021,57000.0,"Armenia, Yerevan",52800.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2972222,3.5,507,6,AWD 4x4,300.0,2.0,500.0
Tesla,Model Y ,2021,56000.0,"Armenia, Yerevan",60800.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3036505,2.5,350,4,AWD 4x4,378.0,2.0,480.0
Avatr,12,2024,56000.0,"Armenia, Yerevan",50.0,Hatchback,Electric,Automatic,Left,Gray,New,https://auto.am/offer/3029043,2.5,578,4,AWD 4x4,94.0,2.0,650.0
Zeekr,001 ,2024,56000.0,Armenia,20.0,Sedan,Electric,Automatic,Left,Օther color,sell.condition-values.,https://auto.am/offer/3040387,2.5,784,4,AWD 4x4,100.0,1.0,705.0
Tesla,Model X ,2020,55900.0,"Armenia, Yerevan",27200.0,SUV / Truck,Electric,Automatic,Left,Black,Good,https://auto.am/offer/2905128,2.5,403,4,AWD 4x4,100.0,2.0,510.0
Mercedes-Benz,EQC ,2022,55500.0,Armenia,15000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2943697,4.0,408,8,AWD 4x4,300.0,2.0,431.0
Audi,Q5 e-tron ,2022,55000.0,"Armenia, Yerevan",5000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3031777,3.0,225,4,AWD 4x4,100.0,2.0,500.0
Mercedes-Benz,EQC ,2020,55000.0,"Armenia, Yerevan",29000.0,SUV / Truck,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3019394,3.0,367,6,AWD 4x4,300.0,4.0,550.0
Tesla,Model Y ,2021,55000.0,Armenia,6000.0,Wagon,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2862124,2.5,350,4,AWD 4x4,75.0,2.0,500.0
Tesla,Model X ,2017,55000.0,"Armenia, Yerevan",123078.40000000001,Sedan,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3024120,2.5,525,4,AWD 4x4,90.0,2.0,512.0
Audi,e-tron ,2019,55000.0,"Armenia, Yerevan",29000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3028438,2.0,409,4,AWD 4x4,300.0,2.0,350.0
Tesla,Model Y ,2023,54000.0,"Armenia, Yerevan",2500.0,Sedan,Electric,Automatic,Left,Black,New,https://auto.am/offer/2990293,2.5,388,4,AWD 4x4,75.0,2.0,616.0
Mercedes-Benz,EQC ,2021,54000.0,Armenia,60000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2827567,4.0,408,6,AWD 4x4,80.0,4.0,479.0
Volkswagen,iD.6 ,2023,53700.0,Armenia,10.0,SUV / Truck,Electric,Automatic,Left,Blue,Excellent,https://auto.am/offer/2868059,2.5,204,4,RWD,86.0,1.0,610.0
Tesla,Model Y ,2022,53000.0,"Armenia, Yerevan",7000.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2963802,2.5,465,4,AWD 4x4,80.0,2.0,500.0
